Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable,Room Categor,Community
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 050,BARBOUR 050 051,BARBOUR 050 051-1,Double (Suite/Apartment),3.0,Female,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 050,BARBOUR 050 051,BARBOUR 050 051-2,Double (Suite/Apartment),3.0,Female,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 060,BARBOUR 060 063,BARBOUR 060 063-1,Single (Suite/Apartment),6.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 060,BARBOUR 060 064,BARBOUR 060 064-1,Double (Suite/Apartment),6.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 060,BARBOUR 060 064,BARBOUR 060 064-2,Double (Suite/Apartment),6.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 060,BARBOUR 060 065,BARBOUR 060 065-1,Single (Suite/Apartment),6.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 060,BARBOUR 060 066,BARBOUR 060 066-1,Double (Suite/Apartment),6.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 060,BARBOUR 060 066,BARBOUR 060 066-2,Double (Suite/Apartment),6.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 080,BARBOUR 080 081,BARBOUR 080 081-1,Double (Suite/Apartment),4.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 080,BARBOUR 080 081,BARBOUR 080 081-2,Double (Suite/Apartment),4.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 080,BARBOUR 080 084,BARBOUR 080 084-1,Double (Suite/Apartment),4.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 080,BARBOUR 080 084,BARBOUR 080 084-2,Double (Suite/Apartment),4.0,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103-1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103-2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103-3,Triple,,CoEd,Spring General Housing Selection
