Building,Floor,Suite,Room,Bed,Room Type,"Suite Size (ifapplicable)",Room Category,Community
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 050,BARBOUR 050 051,BARBOUR 050 051-1,Double (Suite/Apartment),3.0,Female,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 0 A,BARBOUR 050,BARBOUR 050 051,BARBOUR 050 051-2,Double (Suite/Apartment),3.0,Female,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103-1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103-2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103-3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,BARBOUR 105-1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,BARBOUR 105-2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,BARBOUR 105-3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 106,BARBOUR 106,BARBOUR 106-1,Double,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 106,BARBOUR 106,BARBOUR 106-2,Double,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 108,BARBOUR 108,BARBOUR 108-1,Double,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 108,BARBOUR 108,BARBOUR 108-2,Double,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203-1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203-2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203-3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 205,BARBOUR 205,BARBOUR 205-1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 205,BARBOUR 205,BARBOUR 205-2,Triple,,CoEd,Spring General Housing Selection
