Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Category,Community
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐3,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐1,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐2,Triple,,CoEd,Spring General Housing Selection
BARBOUR HALL,BARBOUR FL 3,BARBOUR 303,BARBOUR 303,BARBOUR 303‐3,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐1,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐2,Triple,,CoEd,Spring General Housing Selection
DIMAN HOUSE,DIMAN FL 1,DIMAN 115,DIMAN 115,DIMAN 115‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 502,GREG A 502,GREG A 502‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 502,GREG A 502,GREG A 502‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 502,GREG A 502,GREG A 502‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 503,GREG A 503,GREG A 503‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 503,GREG A 503,GREG A 503‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 503,GREG A 503,GREG A 503‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 506,GREG A 506,GREG A 506‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 506,GREG A 506,GREG A 506‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 506,GREG A 506,GREG A 506‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 509,GREG A 509,GREG A 509‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 509,GREG A 509,GREG A 509‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 509,GREG A 509,GREG A 509‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 511,GREG A 511,GREG A 511‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 511,GREG A 511,GREG A 511‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 5,GREG A 511,GREG A 511,GREG A 511‐3,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 6,GREG A 605,GREG A 605,GREG A 605‐1,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 6,GREG A 605,GREG A 605,GREG A 605‐2,Triple,,CoEd,Spring General Housing Selection
GREGORIAN QUAD A,GREG A FL 6,GREG A 605,GREG A 605,GREG A 605‐3,Triple,,CoEd,Spring General Housing Selection
KING HOUSE,KING FL 2,KING 208,KING 208,KING 208‐1,Double,,CoEd,Spring General Housing Selection
KING HOUSE,KING FL 2,KING 208,KING 208,KING 208‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 116,PERKINS 116,PERKINS 116‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 116,PERKINS 116,PERKINS 116‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 119,PERKINS 119,PERKINS 119‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 119,PERKINS 119,PERKINS 119‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 124,PERKINS 124,PERKINS 124‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 124,PERKINS 124,PERKINS 124‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 125,PERKINS 125,PERKINS 125‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 125,PERKINS 125,PERKINS 125‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 127,PERKINS 127,PERKINS 127‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 127,PERKINS 127,PERKINS 127‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 130,PERKINS 130,PERKINS 130‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 130,PERKINS 130,PERKINS 130‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 137,PERKINS 137,PERKINS 137‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 137,PERKINS 137,PERKINS 137‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 138,PERKINS 138,PERKINS 138‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 138,PERKINS 138,PERKINS 138‐2,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 139,PERKINS 139,PERKINS 139‐1,Double,,CoEd,Spring General Housing Selection
PERKINS HALL,PERKINS FL 1,PERKINS 139,PERKINS 139,PERKINS 139‐2,Double,,CoEd,Spring General Housing Selection
